back_down,DVadv,set,intelligent,confident,id,c1,c2,c3,c4,i1,i2,i3,i4,i5,othercheck,passman,moderatorrolecheck,passcomp,male,age,filter_$
backed_down,NA,NA,NA,NA,A2IC4IMH7G9UKU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
backed_down,5,1,5.6,5,A2LFT9N17HS9FX,7,7,1,5,5,5,7,6,5,NA,NA,NA,NA,NA,NA,1
did_not_back_down,NA,NA,NA,NA,A31PCN2LP7DP8I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did_not_back_down,4,NA,4,4.75,A21389CE81CPZ0,5,5,5,4,5,3,4,4,4,NA,NA,NA,NA,NA,NA,NA
did_not_back_down,6,2,7,6,A2UD55WYGQHGAT,6,6,6,6,7,7,7,7,7,NA,NA,NA,NA,NA,NA,0
backed_down,4,NA,5,5,A1BQKP971LFCYL,5,5,5,5,5,5,5,5,5,2,0,1,0,0,36,NA
backed_down,6,1,5.4,4.5,A3ANYKOQE1N4R,6,4,4,4,6,4,6,6,5,2,0,1,0,1,33,1
backed_down,1,2,7,1,A1NIPJZWXW7ZKM,1,1,1,1,7,7,7,7,7,1,1,2,1,0,27,0
backed_down,1,2,2.2,1,A1H4GJFI4NJWKV,1,1,1,1,2,2,3,2,2,1,1,2,1,0,41,0
backed_down,2,2,2.2,3,A2CRC09J74PII5,3,3,3,3,2,3,2,2,2,1,1,2,1,1,50,0
backed_down,2,2,2,2,A2RB4WF5CDMEL9,2,2,2,2,2,2,2,2,2,1,1,2,1,0,64,0
backed_down,2,2,2.8,1,A3RD486RQUI2XV,1,1,1,1,4,4,1,4,1,1,1,2,1,0,47,0
backed_down,2,2,3,2.25,A1JMD1M91WRWGB,3,2,2,2,3,2,2,3,5,1,1,2,1,1,44,0
backed_down,2,2,4.8,2.5,A2223XYV804AY7,3,3,2,2,5,3,6,5,5,1,1,2,1,0,47,0
backed_down,2,2,5.2,2,AMN2BRHBYE4G1,2,2,2,2,6,4,5,5,6,1,1,2,1,1,53,0
backed_down,2,2,4.4,4.25,A3GOP7D98N6TVM,5,6,3,3,4,4,5,5,4,1,1,2,1,0,30,0
backed_down,3,2,4.2,3,A2DA849F6IV3EO,3,3,3,3,4,4,5,4,4,1,1,2,1,0,45,0
backed_down,3,2,4.6,3,A1LZDDFTH09N9K,3,3,3,3,5,5,4,5,4,1,1,2,1,0,30,0
backed_down,3,2,5.6,3,AKON4ZPGX5DYQ,3,3,3,3,6,5,5,6,6,1,1,2,1,0,32,0
backed_down,3,2,4.4,3,A2CK0OXMPOR9LE,3,3,3,3,5,3,4,5,5,1,1,2,1,1,28,0
backed_down,3,2,5.6,3,A19DY2RQN6EJAC,3,3,3,3,6,4,6,6,6,1,1,2,1,1,47,0
backed_down,3,2,3.6,4.25,A1SJRFJWFXSDH4,5,5,4,3,4,5,2,4,3,1,1,2,1,0,30,0
backed_down,3,2,3.6,2.25,A3PQYTQ44C8UQ4,2,2,2,3,4,3,3,4,4,1,1,2,1,0,57,0
backed_down,3,2,4.6,2.75,A2YJZYTC8WOIZT,3,3,2,3,4,5,5,4,5,1,1,2,1,0,45,0
backed_down,3,2,5,3.75,AOSO1D81K0ET0,4,4,3,4,5,5,4,5,6,1,1,2,1,1,64,0
backed_down,3,2,4.4,3,AO97T9MTSKK0Z,3,3,2,4,4,5,4,4,5,1,1,2,1,1,41,0
backed_down,3,2,4.8,4.25,ADZHJZ078THWQ,5,5,4,3,5,5,5,5,4,1,1,2,1,1,23,0
backed_down,3,2,4,3.25,A2X5BYJKVKSYQQ,3,4,3,3,4,4,4,4,4,1,1,2,1,1,38,0
backed_down,3,2,4.8,3,AVQGY7FCU80XP,3,3,3,3,5,4,5,5,5,1,1,2,1,1,41,0
