aote,global_warming,evolution,big_bang,stem_cell,vaccines,old_earth,modern_medicine,tech_problems,gm_health,trust_scien
50,50,33.33333333,100,83.33333333,83.33333333,83.33333333,83.33333333,0,50,2
100,66.66666667,100,100,100,100,100,100,100,100,5
42.5,50,66.66666667,66.66666667,66.66666667,50,50,66.66666667,50,NA,3
100,100,100,100,100,100,100,100,83.33333333,83.33333333,5
75,100,100,50,100,83.33333333,100,83.33333333,66.66666667,16.66666667,4
65,100,66.66666667,83.33333333,66.66666667,66.66666667,83.33333333,100,100,83.33333333,4
65,83.33333333,100,66.66666667,83.33333333,100,66.66666667,66.66666667,66.66666667,50,4
70,66.66666667,100,100,100,100,100,83.33333333,83.33333333,83.33333333,4
65,100,83.33333333,16.66666667,NA,100,100,83.33333333,83.33333333,50,4
77.5,33.33333333,66.66666667,66.66666667,66.66666667,100,66.66666667,66.66666667,50,50,4
50,66.66666667,33.33333333,50,100,66.66666667,100,33.33333333,83.33333333,66.66666667,3
85,83.33333333,100,100,100,100,100,83.33333333,83.33333333,83.33333333,4
50,66.66666667,83.33333333,66.66666667,33.33333333,50,16.66666667,33.33333333,66.66666667,50,4
80,100,100,83.33333333,100,100,100,100,100,100,4
72.5,83.33333333,0,0,100,50,100,83.33333333,100,16.66666667,2
55,83.33333333,66.66666667,83.33333333,50,83.33333333,50,83.33333333,83.33333333,50,3
97.5,33.33333333,100,100,100,100,100,66.66666667,100,50,4
80,66.66666667,83.33333333,66.66666667,66.66666667,50,83.33333333,66.66666667,33.33333333,50,3
57.5,0,0,0,83.33333333,100,0,83.33333333,83.33333333,83.33333333,2
67.5,66.66666667,100,100,83.33333333,100,100,66.66666667,66.66666667,33.33333333,4
62.5,100,100,100,100,66.66666667,100,83.33333333,83.33333333,33.33333333,5
72.5,66.66666667,66.66666667,66.66666667,83.33333333,66.66666667,100,100,83.33333333,66.66666667,4
47.5,50,83.33333333,83.33333333,66.66666667,16.66666667,50,66.66666667,33.33333333,16.66666667,4
87.5,83.33333333,83.33333333,83.33333333,100,83.33333333,100,100,50,66.66666667,4
37.14285714,83.33333333,50,50,66.66666667,33.33333333,83.33333333,66.66666667,33.33333333,33.33333333,4
55,50,50,50,50,50,50,50,50,50,3
70,66.66666667,66.66666667,83.33333333,66.66666667,100,100,100,100,83.33333333,4
62.5,50,50,50,50,83.33333333,100,83.33333333,83.33333333,66.66666667,3
97.5,100,100,83.33333333,83.33333333,100,100,100,100,16.66666667,4
92.5,100,100,83.33333333,100,100,100,100,100,83.33333333,4
80,100,100,100,66.66666667,100,100,100,83.33333333,100,4
80,100,100,100,100,100,100,100,83.33333333,100,5
65,100,33.33333333,83.33333333,83.33333333,83.33333333,100,16.66666667,16.66666667,0,3
