subject,trial,gender,subj_race,hispanic,tag,cresp,response,confid,prime,target,include,resp
1,2,Female,White,No,4,p,p,3,White,tool,1,0
1,3,Female,White,No,4,p,p,3,White,tool,1,0
1,4,Female,White,No,4,p,p,3,White,tool,1,0
1,5,Female,White,No,3,q,q,3,White,gun,1,1
1,6,Female,White,No,3,q,q,3,White,gun,1,1
1,7,Female,White,No,3,q,q,3,White,gun,1,1
1,8,Female,White,No,2,p,p,3,Black,tool,1,0
1,9,Female,White,No,4,p,p,3,White,tool,1,0
1,10,Female,White,No,3,q,q,3,White,gun,1,1
1,11,Female,White,No,3,q,q,3,White,gun,1,1
1,12,Female,White,No,1,q,q,3,Black,gun,1,1
1,13,Female,White,No,4,p,p,3,White,tool,1,0
1,14,Female,White,No,4,p,p,3,White,tool,1,0
1,15,Female,White,No,4,p,p,3,White,tool,1,0
1,16,Female,White,No,3,q,q,3,White,gun,1,1
1,17,Female,White,No,1,q,q,3,Black,gun,1,1
1,18,Female,White,No,4,p,p,3,White,tool,1,0
1,19,Female,White,No,1,q,q,3,Black,gun,1,1
1,20,Female,White,No,2,p,p,3,Black,tool,1,0
1,21,Female,White,No,1,q,q,3,Black,gun,1,1
1,22,Female,White,No,3,q,q,3,White,gun,1,1
1,23,Female,White,No,4,p,p,3,White,tool,1,0
1,24,Female,White,No,2,p,p,3,Black,tool,1,0
1,25,Female,White,No,3,q,q,3,White,gun,1,1
1,26,Female,White,No,1,q,q,3,Black,gun,1,1
1,27,Female,White,No,3,q,q,3,White,gun,1,1
1,28,Female,White,No,3,q,q,3,White,gun,1,1
1,29,Female,White,No,3,q,q,3,White,gun,1,1
1,30,Female,White,No,2,p,p,3,Black,tool,1,0
1,31,Female,White,No,4,p,p,3,White,tool,1,0
1,32,Female,White,No,4,p,p,3,White,tool,1,0
1,33,Female,White,No,4,p,p,3,White,tool,1,0
1,34,Female,White,No,2,p,p,3,Black,tool,1,0
1,35,Female,White,No,4,p,p,3,White,tool,1,0
1,36,Female,White,No,2,p,p,3,Black,tool,1,0
1,37,Female,White,No,2,p,p,3,Black,tool,1,0
1,38,Female,White,No,3,q,q,3,White,gun,1,1
1,39,Female,White,No,1,q,q,3,Black,gun,1,1
1,40,Female,White,No,3,q,q,3,White,gun,1,1
1,41,Female,White,No,2,p,p,3,Black,tool,1,0
1,42,Female,White,No,4,p,p,3,White,tool,1,0
1,43,Female,White,No,4,p,p,3,White,tool,1,0
1,44,Female,White,No,3,q,q,3,White,gun,1,1
1,45,Female,White,No,3,q,q,3,White,gun,1,1
1,46,Female,White,No,4,p,p,3,White,tool,1,0
1,47,Female,White,No,1,q,q,3,Black,gun,1,1
1,48,Female,White,No,3,q,q,3,White,gun,1,1
1,49,Female,White,No,1,q,q,3,Black,gun,1,1
1,50,Female,White,No,3,q,q,3,White,gun,1,1
1,51,Female,White,No,3,q,q,3,White,gun,1,1
1,52,Female,White,No,3,q,q,3,White,gun,1,1
1,53,Female,White,No,4,p,p,3,White,tool,1,0
1,54,Female,White,No,2,p,p,3,Black,tool,1,0
1,55,Female,White,No,2,p,p,3,Black,tool,1,0
1,56,Female,White,No,3,q,q,3,White,gun,1,1
1,57,Female,White,No,4,p,p,3,White,tool,1,0
1,58,Female,White,No,1,q,q,3,Black,gun,1,1
1,59,Female,White,No,2,p,p,3,Black,tool,1,0
1,60,Female,White,No,2,p,p,3,Black,tool,1,0
1,61,Female,White,No,1,q,q,3,Black,gun,1,1
1,62,Female,White,No,1,q,q,3,Black,gun,1,1
1,63,Female,White,No,2,p,p,3,Black,tool,1,0
1,64,Female,White,No,1,q,q,3,Black,gun,1,1
1,65,Female,White,No,4,p,p,3,White,tool,1,0
1,66,Female,White,No,4,p,p,3,White,tool,1,0
1,67,Female,White,No,3,q,q,3,White,gun,1,1
1,68,Female,White,No,2,p,p,3,Black,tool,1,0
1,69,Female,White,No,1,q,q,3,Black,gun,1,1
1,70,Female,White,No,1,q,q,3,Black,gun,1,1
1,71,Female,White,No,3,q,q,3,White,gun,1,1
1,72,Female,White,No,2,p,p,3,Black,tool,1,0
1,73,Female,White,No,1,q,q,3,Black,gun,1,1
1,74,Female,White,No,3,q,q,3,White,gun,1,1
1,75,Female,White,No,1,q,q,3,Black,gun,1,1
1,76,Female,White,No,3,q,q,3,White,gun,1,1
1,77,Female,White,No,2,p,p,3,Black,tool,1,0
1,78,Female,White,No,1,q,q,3,Black,gun,1,1
1,79,Female,White,No,4,p,p,3,White,tool,1,0
1,80,Female,White,No,1,q,q,3,Black,gun,1,1
1,81,Female,White,No,3,q,q,3,White,gun,1,1
1,82,Female,White,No,1,q,q,3,Black,gun,1,1
1,83,Female,White,No,1,q,q,3,Black,gun,1,1
1,84,Female,White,No,3,q,p,1,White,gun,1,0
1,85,Female,White,No,4,p,p,3,White,tool,1,0
1,86,Female,White,No,4,p,p,3,White,tool,1,0
1,87,Female,White,No,3,q,q,3,White,gun,1,1
1,88,Female,White,No,2,p,p,3,Black,tool,1,0
1,89,Female,White,No,3,q,q,3,White,gun,1,1
1,90,Female,White,No,1,q,q,3,Black,gun,1,1
1,91,Female,White,No,3,q,q,3,White,gun,1,1
1,92,Female,White,No,4,p,p,3,White,tool,1,0
1,93,Female,White,No,4,p,p,3,White,tool,1,0
1,94,Female,White,No,4,p,p,3,White,tool,1,0
1,95,Female,White,No,4,p,p,3,White,tool,1,0
1,96,Female,White,No,3,q,q,3,White,gun,1,1
1,97,Female,White,No,4,p,p,3,White,tool,1,0
1,98,Female,White,No,3,q,q,3,White,gun,1,1
1,99,Female,White,No,1,q,q,3,Black,gun,1,1
1,100,Female,White,No,1,q,q,3,Black,gun,1,1
1,101,Female,White,No,3,q,q,3,White,gun,1,1
1,102,Female,White,No,3,q,q,3,White,gun,1,1
1,103,Female,White,No,2,p,p,3,Black,tool,1,0
1,104,Female,White,No,1,q,q,3,Black,gun,1,1
1,105,Female,White,No,1,q,q,3,Black,gun,1,1
1,106,Female,White,No,2,p,p,3,Black,tool,1,0
1,107,Female,White,No,2,p,p,3,Black,tool,1,0
1,108,Female,White,No,1,q,q,3,Black,gun,1,1
1,109,Female,White,No,2,p,p,3,Black,tool,1,0
1,110,Female,White,No,1,q,q,3,Black,gun,1,1
1,111,Female,White,No,1,q,q,3,Black,gun,1,1
1,112,Female,White,No,1,q,q,3,Black,gun,1,1
1,113,Female,White,No,3,q,q,3,White,gun,1,1
1,114,Female,White,No,4,p,p,3,White,tool,1,0
1,115,Female,White,No,3,q,q,3,White,gun,1,1
1,116,Female,White,No,3,q,q,3,White,gun,1,1
1,117,Female,White,No,2,p,p,3,Black,tool,1,0
1,118,Female,White,No,3,q,q,3,White,gun,1,1
1,119,Female,White,No,1,q,q,3,Black,gun,1,1
1,120,Female,White,No,4,p,p,3,White,tool,1,0
1,121,Female,White,No,3,q,q,3,White,gun,1,1
1,122,Female,White,No,4,p,p,3,White,tool,1,0
1,123,Female,White,No,4,p,p,3,White,tool,1,0
1,124,Female,White,No,2,p,p,3,Black,tool,1,0
1,125,Female,White,No,3,q,q,3,White,gun,1,1
1,126,Female,White,No,3,q,q,3,White,gun,1,1
1,127,Female,White,No,2,p,p,3,Black,tool,1,0
1,128,Female,White,No,2,p,p,3,Black,tool,1,0
1,129,Female,White,No,3,q,q,3,White,gun,1,1
1,130,Female,White,No,3,q,q,3,White,gun,1,1
1,131,Female,White,No,2,p,p,3,Black,tool,1,0
1,132,Female,White,No,3,q,q,3,White,gun,1,1
1,133,Female,White,No,1,q,q,3,Black,gun,1,1
1,134,Female,White,No,3,q,q,3,White,gun,1,1
1,135,Female,White,No,3,q,q,3,White,gun,1,1
1,136,Female,White,No,2,p,p,3,Black,tool,1,0
1,137,Female,White,No,4,p,p,3,White,tool,1,0
1,138,Female,White,No,4,p,p,3,White,tool,1,0
1,139,Female,White,No,2,p,p,3,Black,tool,1,0
1,140,Female,White,No,3,q,q,3,White,gun,1,1
1,141,Female,White,No,1,q,q,3,Black,gun,1,1
1,142,Female,White,No,3,q,q,3,White,gun,1,1
1,143,Female,White,No,3,q,q,3,White,gun,1,1
1,144,Female,White,No,4,p,p,3,White,tool,1,0
1,145,Female,White,No,1,q,q,3,Black,gun,1,1
1,146,Female,White,No,1,q,q,3,Black,gun,1,1
1,147,Female,White,No,2,p,p,3,Black,tool,1,0
1,148,Female,White,No,2,p,p,3,Black,tool,1,0
1,149,Female,White,No,4,p,p,3,White,tool,1,0
1,150,Female,White,No,4,p,p,3,White,tool,1,0
1,151,Female,White,No,4,p,p,3,White,tool,1,0
1,152,Female,White,No,1,q,q,3,Black,gun,1,1
1,153,Female,White,No,1,q,q,3,Black,gun,1,1
1,154,Female,White,No,4,p,p,3,White,tool,1,0
1,155,Female,White,No,1,q,q,3,Black,gun,1,1
1,156,Female,White,No,2,p,p,3,Black,tool,1,0
1,157,Female,White,No,2,p,p,3,Black,tool,1,0
1,158,Female,White,No,2,p,p,3,Black,tool,1,0
1,159,Female,White,No,1,q,q,3,Black,gun,1,1
1,160,Female,White,No,2,p,p,3,Black,tool,1,0
1,161,Female,White,No,4,p,p,3,White,tool,1,0
1,162,Female,White,No,2,p,p,3,Black,tool,1,0
1,163,Female,White,No,1,q,q,3,Black,gun,1,1
1,164,Female,White,No,4,p,p,3,White,tool,1,0
1,165,Female,White,No,2,p,p,3,Black,tool,1,0
1,166,Female,White,No,4,p,p,3,White,tool,1,0
1,167,Female,White,No,4,p,p,3,White,tool,1,0
1,168,Female,White,No,2,p,p,3,Black,tool,1,0
1,169,Female,White,No,4,p,p,3,White,tool,1,0
1,170,Female,White,No,2,p,p,3,Black,tool,1,0
1,171,Female,White,No,1,q,q,3,Black,gun,1,1
1,172,Female,White,No,4,p,p,3,White,tool,1,0
1,173,Female,White,No,1,q,q,3,Black,gun,1,1
1,174,Female,White,No,4,p,p,3,White,tool,1,0
1,175,Female,White,No,1,q,q,3,Black,gun,1,1
1,176,Female,White,No,1,q,q,3,Black,gun,1,1
1,177,Female,White,No,2,p,p,3,Black,tool,1,0
1,178,Female,White,No,4,p,p,3,White,tool,1,0
1,179,Female,White,No,1,q,q,3,Black,gun,1,1
1,180,Female,White,No,2,p,p,3,Black,tool,1,0
1,181,Female,White,No,4,p,p,3,White,tool,1,0
1,182,Female,White,No,2,p,p,3,Black,tool,1,0
1,183,Female,White,No,2,p,p,3,Black,tool,1,0
1,184,Female,White,No,2,p,p,3,Black,tool,1,0
1,185,Female,White,No,2,p,p,3,Black,tool,1,0
1,186,Female,White,No,1,q,q,3,Black,gun,1,1
1,187,Female,White,No,1,q,q,3,Black,gun,1,1
1,188,Female,White,No,2,p,p,3,Black,tool,1,0
1,189,Female,White,No,1,q,q,3,Black,gun,1,1
1,190,Female,White,No,2,p,p,3,Black,tool,1,0
1,191,Female,White,No,2,p,p,3,Black,tool,1,0
2,2,Female,White,No,2,p,p,3,Black,tool,1,0
2,3,Female,White,No,1,q,q,3,Black,gun,1,1
2,4,Female,White,No,3,q,q,3,White,gun,1,1
2,5,Female,White,No,2,p,p,3,Black,tool,1,0
2,6,Female,White,No,3,q,q,3,White,gun,1,1
2,7,Female,White,No,1,q,q,3,Black,gun,1,1
2,8,Female,White,No,4,p,p,3,White,tool,1,0
2,9,Female,White,No,1,q,q,3,Black,gun,1,1
2,10,Female,White,No,4,p,p,3,White,tool,1,0
2,11,Female,White,No,1,q,q,3,Black,gun,1,1
2,12,Female,White,No,3,q,q,3,White,gun,1,1
2,13,Female,White,No,3,q,q,3,White,gun,1,1
2,14,Female,White,No,1,q,q,3,Black,gun,1,1
2,15,Female,White,No,1,q,q,3,Black,gun,1,1
2,16,Female,White,No,2,p,p,3,Black,tool,1,0
2,17,Female,White,No,3,q,q,3,White,gun,1,1
2,18,Female,White,No,1,q,q,3,Black,gun,1,1
2,19,Female,White,No,2,p,p,3,Black,tool,1,0
2,20,Female,White,No,1,q,q,3,Black,gun,1,1
2,21,Female,White,No,2,p,p,3,Black,tool,1,0
2,22,Female,White,No,3,q,q,3,White,gun,1,1
2,23,Female,White,No,4,p,p,3,White,tool,1,0
2,24,Female,White,No,4,p,p,3,White,tool,1,0
2,25,Female,White,No,1,q,p,3,Black,gun,1,0
2,26,Female,White,No,3,q,q,3,White,gun,1,1
2,27,Female,White,No,4,p,p,2,White,tool,1,0
2,28,Female,White,No,3,q,q,2,White,gun,1,1
2,29,Female,White,No,4,p,p,2,White,tool,1,0
2,30,Female,White,No,1,q,q,3,Black,gun,1,1
2,31,Female,White,No,1,q,q,3,Black,gun,1,1
2,32,Female,White,No,2,p,p,3,Black,tool,1,0
2,33,Female,White,No,2,p,p,3,Black,tool,1,0
2,34,Female,White,No,2,p,p,3,Black,tool,1,0
2,35,Female,White,No,2,p,p,3,Black,tool,1,0
2,36,Female,White,No,4,p,p,3,White,tool,1,0
2,37,Female,White,No,2,p,p,2,Black,tool,1,0
2,38,Female,White,No,4,p,p,2,White,tool,1,0
2,39,Female,White,No,4,p,p,3,White,tool,1,0
2,40,Female,White,No,2,p,p,3,Black,tool,1,0
2,41,Female,White,No,4,p,p,3,White,tool,1,0
2,42,Female,White,No,3,q,q,2,White,gun,1,1
2,43,Female,White,No,4,p,p,3,White,tool,1,0
2,44,Female,White,No,2,p,p,3,Black,tool,1,0
2,45,Female,White,No,3,q,q,2,White,gun,1,1
2,46,Female,White,No,4,p,p,3,White,tool,1,0
2,47,Female,White,No,1,q,q,3,Black,gun,1,1
2,48,Female,White,No,1,q,q,3,Black,gun,1,1
2,49,Female,White,No,4,p,p,2,White,tool,1,0
2,50,Female,White,No,3,q,q,3,White,gun,1,1
2,51,Female,White,No,3,q,q,3,White,gun,1,1
2,52,Female,White,No,2,p,p,2,Black,tool,1,0
2,53,Female,White,No,4,p,p,3,White,tool,1,0
2,54,Female,White,No,3,q,q,3,White,gun,1,1
2,55,Female,White,No,4,p,p,3,White,tool,1,0
2,56,Female,White,No,2,p,p,3,Black,tool,1,0
2,57,Female,White,No,1,q,q,3,Black,gun,1,1
2,58,Female,White,No,2,p,p,3,Black,tool,1,0
2,59,Female,White,No,1,q,q,3,Black,gun,1,1
2,60,Female,White,No,1,q,q,3,Black,gun,1,1
2,61,Female,White,No,1,q,q,3,Black,gun,1,1
2,62,Female,White,No,3,q,q,3,White,gun,1,1
2,63,Female,White,No,3,q,q,3,White,gun,1,1
2,64,Female,White,No,2,p,p,3,Black,tool,1,0
2,65,Female,White,No,2,p,p,2,Black,tool,1,0
2,66,Female,White,No,2,p,p,3,Black,tool,1,0
2,67,Female,White,No,1,q,q,3,Black,gun,1,1
2,68,Female,White,No,2,p,p,3,Black,tool,1,0
2,69,Female,White,No,2,p,p,3,Black,tool,1,0
2,70,Female,White,No,2,p,p,2,Black,tool,1,0
2,71,Female,White,No,1,q,q,3,Black,gun,1,1
2,72,Female,White,No,2,p,p,3,Black,tool,1,0
2,73,Female,White,No,2,p,p,3,Black,tool,1,0
2,74,Female,White,No,1,q,q,3,Black,gun,1,1
2,75,Female,White,No,3,q,q,3,White,gun,1,1
2,76,Female,White,No,3,q,q,3,White,gun,1,1
2,77,Female,White,No,3,q,q,3,White,gun,1,1
2,78,Female,White,No,4,p,p,3,White,tool,1,0
2,79,Female,White,No,1,q,q,2,Black,gun,1,1
2,80,Female,White,No,3,q,q,3,White,gun,1,1
2,81,Female,White,No,3,q,q,3,White,gun,1,1
2,82,Female,White,No,3,q,q,3,White,gun,1,1
2,83,Female,White,No,4,p,p,3,White,tool,1,0
2,84,Female,White,No,2,p,p,3,Black,tool,1,0
2,85,Female,White,No,1,q,q,3,Black,gun,1,1
2,86,Female,White,No,2,p,p,3,Black,tool,1,0
2,87,Female,White,No,1,q,q,3,Black,gun,1,1
2,88,Female,White,No,3,q,q,2,White,gun,1,1
2,89,Female,White,No,1,q,q,3,Black,gun,1,1
2,90,Female,White,No,3,q,q,3,White,gun,1,1
2,91,Female,White,No,2,p,p,3,Black,tool,1,0
2,92,Female,White,No,2,p,p,3,Black,tool,1,0
2,93,Female,White,No,1,q,q,3,Black,gun,1,1
2,94,Female,White,No,4,p,p,3,White,tool,1,0
2,95,Female,White,No,1,q,q,3,Black,gun,1,1
2,96,Female,White,No,2,p,p,2,Black,tool,1,0
2,97,Female,White,No,3,q,q,3,White,gun,1,1
2,98,Female,White,No,3,q,q,3,White,gun,1,1
2,99,Female,White,No,2,p,p,3,Black,tool,1,0
2,100,Female,White,No,1,q,q,3,Black,gun,1,1
2,101,Female,White,No,2,p,p,3,Black,tool,1,0
2,102,Female,White,No,1,q,q,3,Black,gun,1,1
2,103,Female,White,No,1,q,q,3,Black,gun,1,1
2,104,Female,White,No,4,p,q,3,White,tool,1,1
2,105,Female,White,No,3,q,q,3,White,gun,1,1
2,106,Female,White,No,4,p,p,2,White,tool,1,0
2,107,Female,White,No,3,q,q,3,White,gun,1,1
2,108,Female,White,No,1,q,q,3,Black,gun,1,1
2,109,Female,White,No,1,q,q,3,Black,gun,1,1
2,110,Female,White,No,2,p,p,2,Black,tool,1,0
2,111,Female,White,No,4,p,p,3,White,tool,1,0
2,112,Female,White,No,2,p,q,3,Black,tool,1,1
2,113,Female,White,No,1,q,q,3,Black,gun,1,1
