ID,Duration__in_seconds_,CRT1,CRT2,CRT3,CRT4,CRT5,CRT6,CRT7,CRT1perf,CRT2perf,CRT3perf,CRT4perf,CRT5perf,CRT6perf,CRT7perf,N1,N2,N3,N1perf,N2perf,N3perf,AOT_1,AOT_2,AOT_3,AOT_4,AOT_5,AOT_6,AOT_7,AOT_8,Climatoskepticism_1,Climatoskepticism_2,Climatoskepticism_3,Climatoskepticism_4,Climatoskepticism_5,Climatoskepticism_6,Climatoskepticism_7,Climatoskepticism_8,Climatoskepticism_9,Climatoskepticism_10,Climatoskepticism_11,Climatoskepticism_12,BeliefScience_1,BeliefScience_2,BeliefScience_3,BeliefScience_4,BeliefScience_5,BeliefScience_6,BeliefScience_7,BeliefScience_8,BeliefScience_9,BeliefScience_10,SciLit1,SciLit2,SciLit3,SciLit4,SciLit5,SciLit6,SciLit7,SciLit8,Gender,Gender_3_TEXT,Age,Ethnicity,Education,MaritalStatus,HouseholdIncome,Mturk,TrapQuestion,Completion,CRT,Numtotal,AOT,BeliefInSciencetotal,Literacy,Climato,filter,filter_$,AOTratio,CRTratio,CognitiveReflection,NumeracyLiteracyIndex
5,99,10,100,47,first,8,emily,3,0,0,1,0,1,1,0,500,10,.1,1,1,0,3,2,3,3,3,1,3,4,2,4,5,2,4,1,1,3,3,1,5,1,4,3,3,1,1,2,1,1,6,2,1,1,1,1,1,1,0,1,1,NA,30,3,5,1,3,59816699,1,1,3,2,22,24,7,32,1,1,0.55,0.42857142857142855,0.4892857142857143,9
6,168,5,100,24,Second,8,June,27,1,0,0,1,1,0,0,333,10,.01,0,1,0,4,3,4,3,2,3,2,3,4,3,4,3,3,4,4,3,4,4,3,4,5,4,5,4,5,5,4,5,4,4,1,1,1,0,1,0,0,0,1,NA,44,1,8,3,3,55152081,1,1,3,1,24,45,4,43,1,1,0.6,0.42857142857142855,0.5142857142857142,5
7,184,.10,100,24,2nd,8,Emily,0,0,0,0,1,1,1,1,500,10,.001,1,1,1,1,5,5,5,2,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,5,5,5,5,6,6,1,1,0,1,1,1,1,1,2,NA,46,1,8,2,4,36247267,1,1,4,3,27,54,7,12,1,1,0.675,0.5714285714285714,0.6232142857142857,10
8,185,2.10,10,24,second,8,june,none,0,0,0,1,1,0,1,2,13,13,0,1,0,4,3,3,2,3,3,3,3,4,3,5,3,5,3,4,3,3,3,4,5,4,3,4,3,3,4,3,3,4,4,1,1,0,1,0,1,1,1,1,NA,33,1,5,2,4,12297965,1,1,3,1,24,35,6,45,1,1,0.6,0.42857142857142855,0.5142857142857142,7
9,242,0.10,100,24,Second,8,Emily,9,0,0,0,1,1,1,0,500,100,10,1,0,0,4,3,4,2,1,3,2,4,3,4,5,4,4,3,5,4,4,4,4,4,4,5,5,4,5,4,3,5,5,4,0,0,0,0,1,0,0,1,1,NA,26,3,7,1,4,31024478,1,1,3,1,23,44,2,48,1,1,0.575,0.42857142857142855,0.5017857142857143,3
10,231,.05,5 minutes,47,Second,8,Emily,0,1,1,1,1,1,1,1,500,10,.001,1,1,1,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,4,3,5,4,5,6,6,1,1,0,1,1,1,1,1,2,NA,39,1,4,2,2,34445709,1,1,7,3,39,50,7,12,1,1,0.975,1,0.9875,10
11,195,.10,100,12,2nd,8,Emily,none,0,0,0,1,1,1,1,50,1,1,0,0,0,4,4,2,4,2,3,4,2,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,6,1,1,1,1,1,1,1,1,2,NA,34,1,8,2,4,41602169,1,1,4,0,25,51,8,49,1,1,0.625,0.5714285714285714,0.5982142857142857,8
12,150,10,5,24,first,8,Emily,12,0,1,0,0,1,1,0,4,100,100,0,0,0,3,4,3,3,3,2,4,3,3,5,3,5,2,4,1,2,2,2,4,2,3,5,3,3,3,4,3,5,3,3,0,0,0,0,1,1,0,1,2,NA,28,1,9,1,3,52627045,1,1,3,0,25,35,3,35,1,1,0.625,0.42857142857142855,0.5267857142857143,3
14,228,.05,5,47,second,8,Emily,27,1,1,1,1,1,1,0,500,10,.1%,1,1,1,4,4,4,4,2,4,4,3,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,1,1,0,0,1,1,1,0,2,NA,41,5,8,2,4,4540799,1,1,6,3,29,50,5,13,1,1,0.725,0.8571428571428571,0.7910714285714285,8
15,158,10,500,48,1,7,june,3,0,0,0,0,0,0,0,6,20,10,0,0,0,4,3,4,3,2,3,2,3,4,3,3,4,3,3,4,3,4,3,4,3,5,4,5,4,5,4,5,4,5,4,1,1,1,1,1,0,1,0,1,NA,32,6,8,1,2,43006683,1,1,0,0,24,45,6,41,1,1,0.6,0,0.3,6
