end_date,status,ip_address,progress,duration_in_seconds,subject,recorded_date,response_id,location_latitude,location_longitude,distribution_channel,user_language,consent_form,age,gender,stage1_simple,stage2_simple,stage3_simple,stage4_simple,stage5_simple,stage6_simple,stage7_simple,stage1_complex,stage2_complex,stage3_complex,stage4_complex,stage5_complex,stage6_complex,stage7_complex,thinking1,thinking2,thinking3,openminded1,openminded2,openminded3,openminded4,openminded5,openminded6,openminded7,openminded8,group,numeracy_total,reasoning_total
24/9/20 22:02,IP Address,202.7.193.64,100,1517,subj1,24/9/20 22:02,R_1f298znjmVzcOjp,-33.85910034,151.2001953,anonymous,EN,I consent,18,Female,NA,NA,NA,NA,NA,NA,NA,36,70,68,54,51,43,41,8,50,20,5,5,5,5,5,6,5,3,Complex,9,9
25/9/20 3:23,IP Address,220.245.220.94,100,1131,subj2,25/9/20 3:23,R_tL0A9P33Gi18I0N,-34.0368042,150.6672058,anonymous,EN,I consent,18,Male,50,55,55,90,75,50,35,NA,NA,NA,NA,NA,NA,NA,8,10,39,6,6,6,5,6,6,5,6,Simple,9,10
27/9/20 22:59,IP Address,121.210.0.211,100,709,subj3,27/9/20 22:59,R_1LNyJhCKxTAAMOW,-33.85910034,151.2001953,anonymous,EN,I consent,19,Female,50,50,77,60,25,20,13,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,5,4,5,5,6,5,6,Simple,10,8
27/9/20 23:18,IP Address,58.179.100.109,100,949,subj4,27/9/20 23:18,R_3enxzUsEYgs5r1a,-12.63920593,141.874115,anonymous,EN,I consent,27,Female,NA,NA,NA,NA,NA,NA,NA,70,80,90,95,70,80,90,8,50,20,6,6,6,1,6,6,6,1,Complex,8,7
28/9/20 0:45,IP Address,120.154.53.68,100,1097,subj5,28/9/20 0:45,R_2Qzl2096a4KNE29,-33.85910034,151.2001953,anonymous,EN,I consent,19,Male,71,73,85,95,95,32,32,NA,NA,NA,NA,NA,NA,NA,4,10,39,6,6,5,5,6,6,6,6,Simple,11,11
28/9/20 2:20,IP Address,1.129.107.6,100,880,subj6,28/9/20 2:20,R_esb71WOTQySjusF,-33.85910034,151.2001953,anonymous,EN,I consent,20,Female,NA,NA,NA,NA,NA,NA,NA,89,100,44,55,100,50,55,8,50,20,6,6,6,5,6,6,6,6,Complex,10,10
28/9/20 3:22,IP Address,49.2.194.88,100,693,subj7,28/9/20 3:22,R_11WPG5dwTqGgghR,-33.85910034,151.2001953,anonymous,EN,I consent,20,Female,80,70,62,90,53,42,30,NA,NA,NA,NA,NA,NA,NA,8,500,20,6,6,4,5,5,5,6,5,Simple,9,8
28/9/20 5:25,IP Address,137.111.13.126,100,1251,subj8,28/9/20 5:25,R_zYFCI3t32HQI081,-33.78840637,151.0810852,anonymous,EN,I consent,19,Female,NA,NA,NA,NA,NA,NA,NA,25,51,50,63,17,55,20,8,50,20,6,5,5,4,6,6,4,5,Complex,10,9
28/9/20 5:42,IP Address,119.18.2.236,100,2467,subj9,28/9/20 5:42,R_RIATdGLFjnGmSlP,-33.85910034,151.2001953,anonymous,EN,I consent,21,Female,NA,NA,NA,NA,NA,NA,NA,25,40,50,51,61,60,64,8,50,20,6,6,6,6,6,6,1,6,Complex,8,8
28/9/20 5:57,IP Address,137.111.13.126,100,735,subj10,28/9/20 5:57,R_24wHOJCJ1YsdTiF,-33.78840637,151.0810852,anonymous,EN,I consent,18,Female,54,61,96,95,26,22,21,NA,NA,NA,NA,NA,NA,NA,8,50,7,6,6,6,4,5,6,6,6,Simple,10,7
28/9/20 19:09,IP Address,137.111.13.126,100,1970,subj11,28/9/20 19:09,R_UDE3COkvVCcwsWR,-33.78840637,151.0810852,anonymous,EN,I consent,18,Female,NA,NA,NA,NA,NA,NA,NA,40,52,60,30,71,72,82,8,50,10,6,5,6,6,6,5,5,4,Complex,9,8
28/9/20 21:28,IP Address,137.111.13.126,100,1300,subj12,28/9/20 21:28,R_2y8YoEI7R4Vo6ka,-33.78840637,151.0810852,anonymous,EN,I consent,18,Male,61,41,88,88,31,32,31,NA,NA,NA,NA,NA,NA,NA,4,50,39,5,5,5,4,5,4,2,4,Simple,8,8
28/9/20 21:31,IP Address,101.112.219.212,100,1267,subj13,28/9/20 21:31,R_330WkmMHsX6LzoW,-33.85910034,151.2001953,anonymous,EN,I consent,27,Female,NA,NA,NA,NA,NA,NA,NA,40,74,71,86,90,75,61,8,10,5,6,6,6,6,6,6,6,6,Complex,10,9
28/9/20 22:01,IP Address,144.138.124.159,100,1186,subj14,28/9/20 22:01,R_2yaoJgeBOdDYrP1,-33.7407074,151.1954041,anonymous,EN,I consent,19,Female,65,40,70,80,61,40,39,NA,NA,NA,NA,NA,NA,NA,8,50,20,5,6,5,1,6,6,4,3,Simple,9,11
28/9/20 22:05,IP Address,101.184.25.190,100,579,subj15,28/9/20 22:05,R_21zHPaCEeTMpGDw,-33.85910034,151.2001953,anonymous,EN,I consent,22,Female,NA,NA,NA,NA,NA,NA,NA,65,35,55,67,37,66,31,8,50,20,6,4,4,3,4,4,4,4,Complex,4,6
28/9/20 23:22,IP Address,1.40.82.138,100,810,subj16,28/9/20 23:22,R_Q69VLSAX9ODGNJD,-33.85910034,151.2001953,anonymous,EN,I consent,18,Female,55,73,80,82,43,33,32,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,6,6,5,6,6,5,5,Simple,10,9
29/9/20 3:04,IP Address,137.111.13.126,100,1077,subj17,29/9/20 3:04,R_1q7FnnihJ5Fi4C9,-33.78840637,151.0810852,anonymous,EN,I consent,18,Female,44,96,90,100,19,17,0,NA,NA,NA,NA,NA,NA,NA,4,10,39,6,5,2,3,4,4,5,2,Simple,11,8
29/9/20 20:27,IP Address,14.200.99.110,100,766,subj18,29/9/20 20:27,R_2zbUoSszZNyqRO9,-33.90739441,151.1560974,anonymous,EN,I consent,21,Female,NA,NA,NA,NA,NA,NA,NA,81,85,73,91,40,34,33,8,50,20,6,5,5,4,5,6,6,5,Complex,10,7
29/9/20 23:00,IP Address,120.155.163.225,100,1400,subj19,29/9/20 23:00,R_0jFtIMEZvoPKT2p,-27.47320557,153.0215149,anonymous,EN,I consent,53,Female,NA,NA,NA,NA,NA,NA,NA,100,100,33,55,100,65,100,8,50,20,4,2,1,1,5,2,2,2,Complex,10,6
30/9/20 2:49,IP Address,27.33.161.188,100,685,subj20,30/9/20 2:49,R_RgZKrR2oOuADLgd,-33.85910034,151.2001953,anonymous,EN,I consent,22,Female,55,90,100,88,89,87,11,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,2,5,2,5,5,4,2,Simple,6,11
30/9/20 7:25,IP Address,1.157.219.2,100,1091,subj21,30/9/20 7:25,R_sYgeC3zVrMUtidH,-33.85910034,151.2001953,anonymous,EN,I consent,18,Female,65,83,86,92,78,60,40,NA,NA,NA,NA,NA,NA,NA,8,50,20,6,6,6,6,6,6,6,6,Simple,10,8
30/9/20 18:17,IP Address,114.75.150.224,100,1289,subj22,30/9/20 18:17,R_1jJ3S5nE0uyD5WJ,-33.70640564,150.9595947,anonymous,EN,I consent,19,Female,NA,NA,NA,NA,NA,NA,NA,87,62,76,70,66,45,37,4,50,39,6,6,6,5,6,6,5,5,Complex,10,8
30/9/20 18:44,IP Address,137.111.13.126,100,756,subj23,30/9/20 18:44,R_2wjkGxpu65hoHhg,-33.85910034,151.2001953,anonymous,EN,I consent,18,Female,NA,NA,NA,NA,NA,NA,NA,58,54,44,30,57,35,70,8,50,80,6,6,1,6,6,1,1,3,Complex,0,8
30/9/20 20:21,IP Address,118.208.101.118,100,1101,subj24,30/9/20 20:21,R_2U8XtzvmyS76KId,-33.85910034,151.2001953,anonymous,EN,I consent,18,Female,70,60,78,75,40,43,32,NA,NA,NA,NA,NA,NA,NA,4,50,39,6,6,6,3,6,6,5,4,Simple,11,8
30/9/20 20:25,IP Address,49.195.157.119,100,641,subj25,30/9/20 20:25,R_20MX8QRMXS6dhIt,-33.85910034,151.2001953,anonymous,EN,I consent,37,Female,NA,NA,NA,NA,NA,NA,NA,60,41,60,61,30,43,13,8,10,20,4,3,3,4,3,3,3,3,Complex,10,9
30/9/20 20:42,IP Address,137.111.13.126,100,4485,subj26,30/9/20 20:42,R_3iJV7oO2OJyBFkx,-33.85910034,151.2001953,anonymous,EN,I consent,19,Female,91,26,72,94,38,38,39,NA,NA,NA,NA,NA,NA,NA,8,5,20,6,5,1,1,6,6,5,3,Simple,9,9
30/9/20 20:50,IP Address,210.193.205.146,100,859,subj27,30/9/20 20:50,R_usjl5MHjGZVstVv,-33.87849426,151.1683044,anonymous,EN,I consent,23,Female,NA,NA,NA,NA,NA,NA,NA,89,51,90,73,82,64,75,8,50,20,5,5,5,4,2,5,4,2,Complex,7,7
30/9/20 20:58,IP Address,60.227.137.249,100,895,subj28,30/9/20 20:58,R_Ovy3SjkIDT968JH,-33.85910034,151.2001953,anonymous,EN,I consent,19,Female,15,76,88,93,35,30,35,NA,NA,NA,NA,NA,NA,NA,8,10,30,5,5,4,4,5,5,4,4,Simple,11,9
1/10/20 0:59,IP Address,203.40.161.8,100,653,subj29,1/10/20 0:59,R_2EBkndB9oTP9x6T,-33.85910034,151.2001953,anonymous,EN,I consent,19,Female,81,76,77,88,83,24,20,NA,NA,NA,NA,NA,NA,NA,4,50,20,6,5,4,4,5,6,5,4,Simple,10,8
